name,price_usd,price_inr,positive_reviews,negative_reviews,user_rating_pct,jes,category,joy_per_1000_inr,rank_in_category
Street Fighter 30th Anniversary Collection,29.99,2489.17,2132,918,69.90163934426229,0.0280710310317216,Indie/AA,28.071031031721645,1382.0
Witchfire,39.99,3319.17,7976,599,93.01457725947522,0.0280150044303379,Indie/AA,28.01500443033797,1383.0
DEATH STRANDING DIRECTOR'S CUT,39.99,3319.17,36697,2819,92.8661807875291,0.0279703089864462,Indie/AA,27.97030898644621,1384.0
Assetto Corsa Competizione,39.99,3319.17,36035,2908,92.53267596230388,0.0278698608692638,Indie/AA,27.869860869263885,1385.0
The Wind Road,29.99,2489.17,4706,2098,69.16519694297472,0.0277752912222758,Indie/AA,27.775291222275875,1386.0
DARK SOULS™: REMASTERED,39.99,3319.17,119152,10147,92.15229816162538,0.0277552951088725,Indie/AA,27.755295108872552,1387.0
Grand Theft Auto V Enhanced,29.99,2489.17,38595,17286,69.06640897621732,0.0277356200485177,Indie/AA,27.7356200485177,1388.0
The Elder Scrolls V: Skyrim Special Edition,39.99,3319.17,310162,26896,92.02036444766183,0.0277155580731293,Indie/AA,27.715558073129337,1389.0
Hammerting,24.99,2074.17,1447,1071,57.46624305003971,0.0276923061966198,Indie/AA,27.69230619661989,1390.0
This Land Is My Land,29.99,2489.17,3070,1400,68.68008948545862,0.0275804822503919,Indie/AA,27.580482250391988,1391.0
Call of Duty®: Black Ops,39.99,3319.17,36530,3695,90.8141702921069,0.0273522651828391,Indie/AA,27.352265182839098,1392.0
Granblue Fantasy: Relink,39.99,3319.17,43116,4883,89.82687139315402,0.0270549012228753,Indie/AA,27.054901222875344,1393.0
Tempest Rising,39.99,3319.17,6276,767,89.1097543660372,0.0268389131779508,Indie/AA,26.83891317795089,1394.0
Life is Strange Remastered,39.99,3319.17,5345,655,89.08333333333334,0.0268309554430445,Indie/AA,26.830955443044584,1395.0
SHINORUBI,24.99,2074.17,10,8,55.55555555555556,0.0267715683802076,Indie/AA,26.771568380207672,1396.0
Lords of the Fallen,29.99,2489.17,27969,14164,66.38264543232147,0.0266578769450766,Indie/AA,26.65787694507663,1397.0
DARK SOULS™ II,39.99,3319.17,39201,5123,88.44192762386066,0.026637770844222,Indie/AA,26.637770844222032,1398.0
Miscreated,29.99,2489.17,20860,10748,65.99595039230574,0.0265025883342525,Indie/AA,26.50258833425258,1399.0
Rust,39.99,3319.17,1071135,156649,87.24132257791273,0.0262761613344836,Indie/AA,26.27616133448369,1400.0
Battlefield™ 1,39.99,3319.17,166775,26046,86.49213519274352,0.0260505140377581,Indie/AA,26.050514037758163,1401.0
Five Nights at Freddy's: Security Breach,39.99,3319.17,56080,8779,86.46448449713995,0.0260421859414246,Indie/AA,26.04218594142467,1402.0
Street Fighter™ 6,39.99,3319.17,48252,8414,85.1515900187061,0.0256467560452344,Indie/AA,25.64675604523446,1403.0
Remnant: From the Ashes,39.99,3319.17,44761,8081,84.70724045267023,0.0255129226674146,Indie/AA,25.51292266741469,1404.0
Batman™: Arkham Origins Blackgate - Deluxe Edition,19.99,1659.1699999999998,1178,1606,42.31321839080459,0.0254872804536912,Indie/AA,25.487280453691245,1405.0
Castlevania: Lords of Shadow 2,39.99,3319.17,4930,900,84.56260720411663,0.025469360666507,Indie/AA,25.469360666507026,1406.0
Starpoint Gemini Warlords,34.99,2904.17,2593,939,73.4144960362401,0.0252702926287412,Indie/AA,25.27029262874121,1407.0
Hellpoint,34.99,2904.17,3137,1156,73.07244351269509,0.0251525533833459,Indie/AA,25.152553383345925,1408.0
ENDLESS™ Space 2,39.99,3319.17,18526,3664,83.48805768364129,0.0251457177444652,Indie/AA,25.14571774446528,1409.0
ICARUS,34.99,2904.17,34070,13002,72.37848402447314,0.0249136828565877,Indie/AA,24.913682856587787,1410.0
Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,39.99,3319.17,3584,777,82.18298555377207,0.0247526438567218,Indie/AA,24.752643856721814,1411.0
Immortal Realms: Vampire Wars,29.99,2489.17,344,215,61.53846153846154,0.0247125543792036,Indie/AA,24.712554379203645,1412.0
Planet Coaster,44.99,3734.17,64131,6147,91.25330828993428,0.024430831338315,Indie/AA,24.430831338315063,1413.0
Vikings - Wolves of Midgard,29.99,2489.17,2630,1785,59.56964892412231,0.0239219205612959,Indie/AA,23.92192056129594,1414.0
Starpoint Gemini 2,34.99,2904.17,2843,1250,69.46005375030539,0.0239091184854261,Indie/AA,23.90911848542612,1415.0
inZOI,39.99,3319.17,16548,4311,79.33266216021862,0.0238941566727663,Indie/AA,23.89415667276634,1416.0
Lords Of The Fallen™ 2014,29.99,2489.17,11754,8141,59.08017089721035,0.0237253564604867,Indie/AA,23.72535646048677,1417.0
Agents of Mayhem,29.99,2489.17,2781,1970,58.53504525363081,0.0235064454449418,Indie/AA,23.50644544494184,1418.0
Tainted Grail: The Fall of Avalon,44.99,3734.17,10043,1437,87.48257839721254,0.0234213110506918,Indie/AA,23.421311050691813,1419.0
The Walking Dead: The Telltale Definitive Series,49.99,4149.17,29969,1072,96.54650301214522,0.0232632646402786,Indie/AA,23.26326464027865,1420.0
Like a Dragon Gaiden: The Man Who Erased His Name,49.99,4149.17,9974,357,96.54438098925564,0.0232627533304071,Indie/AA,23.2627533304071,1421.0
Warhammer: Chaosbane,29.99,2489.17,3505,2567,57.72397891963109,0.023180738230575,Indie/AA,23.180738230575056,1422.0
God of War,49.99,4149.17,151706,6311,96.00612592316016,0.0231330586272755,Indie/AA,23.133058627275545,1423.0
Clair Obscur: Expedition 33,49.99,4149.17,106216,4816,95.66251170833634,0.023050263412905,Indie/AA,23.050263412905093,1424.0
Darksiders III,39.99,3319.17,11626,3571,76.50194117259986,0.0230415735256326,Indie/AA,23.04157352563268,1425.0
Saints Row,29.99,2489.17,3883,2886,57.36445560644113,0.0230363612148733,Indie/AA,23.03636121487333,1426.0
The Bus,39.99,3319.17,4839,1682,74.20641005980679,0.0223501838941399,Indie/AA,22.350183894139995,1427.0
DRAGON QUEST BUILDERS™ 2,49.99,4149.17,6679,554,92.34066085994746,0.022249850213352,Indie/AA,22.249850213352094,1428.0
Team Sonic Racing™,39.99,3319.17,2465,882,73.64804302360322,0.0221820096632411,Indie/AA,22.182009663241107,1429.0
Disciples: Liberation,39.99,3319.17,2630,944,73.5870173475098,0.0221636293766613,Indie/AA,22.163629376661376,1430.0
CRISIS CORE –FINAL FANTASY VII– REUNION,49.99,4149.17,6667,751,89.87597735238609,0.0216559749003983,Indie/AA,21.65597490039832,1431.0
Xuan-Yuan Sword VII,34.99,2904.17,5949,3535,62.72669759595107,0.0215914034620869,Indie/AA,21.591403462086927,1432.0
DJMAX RESPECT V,49.99,4149.17,26014,3112,89.31538831284763,0.0215208987373644,Indie/AA,21.520898737364405,1433.0
The Medium,49.99,4149.17,7765,974,88.85456001830873,0.0214098603233864,Indie/AA,21.409860323386447,1434.0
"Warhammer 40,000: Darktide",39.99,3319.17,80268,32692,71.05878186968837,0.0214021516578031,Indie/AA,21.402151657803177,1435.0
Middle-earth™: Shadow of War™,49.99,4149.17,95053,12165,88.65395735790632,0.0213615243129573,Indie/AA,21.36152431295738,1436.0
MELTY BLOOD: TYPE LUMINA,49.99,4149.17,8484,1118,88.35659237658821,0.0212898730357041,Indie/AA,21.289873035704133,1437.0
Mortal Kombat 11,49.99,4149.17,93635,12646,88.10135395790405,0.0212283723215926,Indie/AA,21.228372321592623,1438.0
Assetto Corsa EVO,39.99,3319.17,7712,3306,69.9945543655836,0.0210816176176471,Indie/AA,21.081617617647165,1439.0
Anno 2205™,39.99,3319.17,4174,1819,69.64792257633906,0.0209772157980883,Indie/AA,20.977215798088366,1440.0
